VolcanoNumber,VolcanoName,Country,PrimaryVolcanoType,ActivityEvidence,LastKnownEruption,Region,Subregion,Latitude,Longitude,Elevation,DominantRockType,TectonicSetting,,,Multiple
221090,Ale Bagu,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.52,40.63,1031,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221091,Hayli Gubbi,Ethiopia,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.5,40.72,521,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221100,Dubbi,Eritrea,stratovolcano,Eruption Observed,1861 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.579,41.809,1625,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221101,Nabro,Eritrea,stratovolcano,Eruption Observed,2012 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.37,41.7,2218,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km),,,false
221102,Mallahle,Ethiopia-Eritrea,stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.27,41.65,1875,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km),,,false
221103,Sork Ale,Ethiopia-Eritrea,stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.18,41.725,1611,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221104,Asavyo,Ethiopia,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.07,41.6,1200,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221105,Mat Ala,Ethiopia,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.106,41.161,493,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221106,Tat Ali,Ethiopia,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.284,41.063,655,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221107,Borawli,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.304,40.987,784,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221110,Afdera,Ethiopia,stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221111,Ma Alalta,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.013,40.185,1745,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221112,Alayta,Ethiopia,shield,Eruption Observed,1915 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221113,Dabbahu,Ethiopia,stratovolcano,Eruption Observed,2005 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.48,1401,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221114,Dabbayra,Ethiopia,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,40.07,1302,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221115,Manda Hararo,Ethiopia,shield,Eruption Observed,2009 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.17,40.82,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
221116,Groppo,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.73,40.25,930,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221120,Kurub,Ethiopia,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.88,41.208,625,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221121,Borawli,Ethiopia,lava-dome,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.63,41.45,875,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,true
221122,Manda-Inakir,Ethiopia-Djibouti,fissure-vent,Eruption Observed,1928 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,42.2,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.47,42.4,2028,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221124,Gufa,Eritrea-Djibouti,volcanic-field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.55,42.53,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221125,Assab Volcanic Field,Eritrea,volcanic-field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.95,42.43,987,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221126,Ardoukéba,Djibouti,fissure-vent,Eruption Observed,1978 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
221127,Manda Gargori,Ethiopia,fissure-vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.75,41.48,0,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
221141,Dama Ali,Ethiopia,shield,Eruption Observed,1631 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.28,41.63,1068,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221150,Gabillema,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.08,41.27,1459,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221151,Yangudi,Ethiopia,complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.58,41.042,1383,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
